[2025-06-05 20:27:51] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInUp.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInUp.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/swing.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/swing.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/tada.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/tada.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/wobble.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/wobble.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInRight.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInRight.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInUp.css
